Date,Shirting Production (Meters),Suiting Production (Meters),Own Production (Meters),Sales (Meters),Customer Feedback Rating,Revenue (Rs),Cost (Rs),Profit (Rs),Inventory (Shirting Meters),Inventory (Suiting Meters),Inventory (Own Production Meters)
31-01-2018,1917.618108,1263.805037,2294.782581,1459.299287,4,207417.0656,216943.8764,-9526.810821,458.3188213,-195.4942494,835.4832939
28-02-2018,1565.981131,701.1087921,2420.139869,1960.975002,5,428505.6207,199989.1576,228516.4632,63.32494997,-1455.360459,1294.648161
31-03-2018,1650.670806,906.4154168,1900.658798,1849.699927,2,478333.5895,143263.8885,335069.701,-135.7041713,-2398.64497,1345.607033
30-04-2018,1444.196343,381.5323622,2346.829238,1524.540343,4,165075.9603,61398.88475,103677.0756,-216.0481712,-3541.65295,2167.895928
31-05-2018,1620.956912,221.7508279,2277.548402,1586.800623,4,212359.3751,113529.7983,98829.57684,-181.8918825,-4906.702745,2858.643707
30-06-2018,1584.599488,1065.23503,2923.916075,1256.933811,1,296215.4087,195824.0516,100391.357,145.773794,-5098.401526,4525.62597
31-07-2018,1440.359283,89.62889698,2809.129208,1019.873498,3,161636.3738,182628.1921,-20991.81836,566.2595789,-6028.646127,6314.881681
31-08-2018,1453.405925,834.2576374,1640.728352,1943.937574,5,320707.8195,117975.2269,202732.5926,75.72792981,-7138.326064,6011.672459
30-09-2018,1123.787277,443.8609073,2629.610465,1068.464758,2,266097.8858,178070.3948,88027.49104,131.0504484,-7762.929915,7572.818165
31-10-2018,1772.656674,1304.095411,1915.311083,1257.205638,4,250316.0271,133626.6489,116689.3781,646.5014843,-7716.040142,8230.92361
30-11-2018,1186.064359,1497.871115,1989.031117,1076.443605,5,342941.1854,244515.6901,98425.49524,756.122239,-7294.612632,9143.511122
31-12-2018,1025.15324,399.150863,1693.13391,1831.63963,5,153325.3087,153797.1519,-471.8432067,-50.36415118,-8727.101399,9005.005402
31-01-2019,1495.012751,108.4170762,2210.55748,1579.151392,1,317957.446,70057.79112,247899.6549,-134.5027921,-10197.83571,9636.411489
28-02-2019,1274.21987,353.7013069,2743.629047,1501.295394,5,355643.3338,132180.1117,223463.2221,-361.5783161,-11345.4298,10878.74514
31-03-2019,1024.524846,615.299651,1776.087573,1725.757725,5,210387.0065,187907.6182,22479.38824,-1062.811195,-12455.88788,10929.07499
30-04-2019,1474.851123,339.1427799,2237.564975,1191.223059,4,186898.0759,194785.8471,-7887.771232,-779.1831308,-13307.96815,11975.41691
31-05-2019,1226.432213,62.58631083,1532.624568,1107.144687,5,209668.2734,214290.4687,-4622.195272,-659.8956046,-14352.52653,12400.89679
30-06-2019,1896.808545,1323.400427,1542.628963,1620.740868,2,405875.5893,97269.17603,308606.4132,-383.8279282,-14649.86697,12322.78488
